amenity_id,station_id,type,icon,map_id
2,6542,Cafe,https://d3orevttu06iqr.cloudfront.net/amenities_icons/cafe.png,11817
1,6543,Restroom,https://statiq-images-prod.s3.ap-south-1.amazonaws.com/amenities_icons/restroom.png,11818
1,6544,Restroom,https://statiq-images-prod.s3.ap-south-1.amazonaws.com/amenities_icons/restroom.png,11819
2,6544,Cafe,https://d3orevttu06iqr.cloudfront.net/amenities_icons/cafe.png,11820
1,6545,Restroom,https://statiq-images-prod.s3.ap-south-1.amazonaws.com/amenities_icons/restroom.png,11821
2,6545,Cafe,https://d3orevttu06iqr.cloudfront.net/amenities_icons/cafe.png,11822
1,6546,Restroom,https://statiq-images-prod.s3.ap-south-1.amazonaws.com/amenities_icons/restroom.png,11823
2,6546,Cafe,https://d3orevttu06iqr.cloudfront.net/amenities_icons/cafe.png,11824
1,6547,Restroom,https://statiq-images-prod.s3.ap-south-1.amazonaws.com/amenities_icons/restroom.png,11825
2,6547,Cafe,https://d3orevttu06iqr.cloudfront.net/amenities_icons/cafe.png,11826
1,6560,Restroom,https://statiq-images-prod.s3.ap-south-1.amazonaws.com/amenities_icons/restroom.png,11827
1,6569,Restroom,https://statiq-images-prod.s3.ap-south-1.amazonaws.com/amenities_icons/restroom.png,11829
2,6569,Cafe,https://d3orevttu06iqr.cloudfront.net/amenities_icons/cafe.png,11830
1,6577,Restroom,https://statiq-images-prod.s3.ap-south-1.amazonaws.com/amenities_icons/restroom.png,11831
2,6577,Cafe,https://d3orevttu06iqr.cloudfront.net/amenities_icons/cafe.png,11832
1,6631,Restroom,https://statiq-images-prod.s3.ap-south-1.amazonaws.com/amenities_icons/restroom.png,11838
1,6632,Restroom,https://statiq-images-prod.s3.ap-south-1.amazonaws.com/amenities_icons/restroom.png,11839
1,6634,Restroom,https://statiq-images-prod.s3.ap-south-1.amazonaws.com/amenities_icons/restroom.png,11842
1,6637,Restroom,https://statiq-images-prod.s3.ap-south-1.amazonaws.com/amenities_icons/restroom.png,11981
1,6638,Restroom,https://statiq-images-prod.s3.ap-south-1.amazonaws.com/amenities_icons/restroom.png,11843
4,6638,Car Care,https://d3orevttu06iqr.cloudfront.net/amenities_icons/car+care+(1).png,11844
2,6646,Cafe,https://d3orevttu06iqr.cloudfront.net/amenities_icons/cafe.png,13243
1,6659,Restroom,https://statiq-images-prod.s3.ap-south-1.amazonaws.com/amenities_icons/restroom.png,11847
2,6659,Cafe,https://d3orevttu06iqr.cloudfront.net/amenities_icons/cafe.png,11848
1,6663,Restroom,https://statiq-images-prod.s3.ap-south-1.amazonaws.com/amenities_icons/restroom.png,11851
2,6663,Cafe,https://d3orevttu06iqr.cloudfront.net/amenities_icons/cafe.png,11852
3,6663,Store,https://d3orevttu06iqr.cloudfront.net/amenities_icons/store.png,11853
2,6666,Cafe,https://d3orevttu06iqr.cloudfront.net/amenities_icons/cafe.png,13282
1,6681,Restroom,https://statiq-images-prod.s3.ap-south-1.amazonaws.com/amenities_icons/restroom.png,11865
4,6681,Car Care,https://d3orevttu06iqr.cloudfront.net/amenities_icons/car+care+(1).png,11866
1,6712,Restroom,https://statiq-images-prod.s3.ap-south-1.amazonaws.com/amenities_icons/restroom.png,11873
4,6712,Car Care,https://d3orevttu06iqr.cloudfront.net/amenities_icons/car+care+(1).png,11874
1,6713,Restroom,https://statiq-images-prod.s3.ap-south-1.amazonaws.com/amenities_icons/restroom.png,11875
4,6713,Car Care,https://d3orevttu06iqr.cloudfront.net/amenities_icons/car+care+(1).png,11876
2,6764,Cafe,https://d3orevttu06iqr.cloudfront.net/amenities_icons/cafe.png,11884
1,6764,Restroom,https://statiq-images-prod.s3.ap-south-1.amazonaws.com/amenities_icons/restroom.png,11885
1,6786,Restroom,https://statiq-images-prod.s3.ap-south-1.amazonaws.com/amenities_icons/restroom.png,11886
1,6787,Restroom,https://statiq-images-prod.s3.ap-south-1.amazonaws.com/amenities_icons/restroom.png,11887
1,6793,Restroom,https://statiq-images-prod.s3.ap-south-1.amazonaws.com/amenities_icons/restroom.png,11888
1,6812,Restroom,https://statiq-images-prod.s3.ap-south-1.amazonaws.com/amenities_icons/restroom.png,11893
2,6812,Cafe,https://d3orevttu06iqr.cloudfront.net/amenities_icons/cafe.png,11894
1,6813,Restroom,https://statiq-images-prod.s3.ap-south-1.amazonaws.com/amenities_icons/restroom.png,11895
2,6813,Cafe,https://d3orevttu06iqr.cloudfront.net/amenities_icons/cafe.png,11896
2,6816,Cafe,https://d3orevttu06iqr.cloudfront.net/amenities_icons/cafe.png,11897
1,6816,Restroom,https://statiq-images-prod.s3.ap-south-1.amazonaws.com/amenities_icons/restroom.png,11925
2,6821,Cafe,https://d3orevttu06iqr.cloudfront.net/amenities_icons/cafe.png,11900
1,6821,Restroom,https://statiq-images-prod.s3.ap-south-1.amazonaws.com/amenities_icons/restroom.png,11901
1,6827,Restroom,https://statiq-images-prod.s3.ap-south-1.amazonaws.com/amenities_icons/restroom.png,11904
2,6827,Cafe,https://d3orevttu06iqr.cloudfront.net/amenities_icons/cafe.png,11905
5,6827,Lodging,https://d3orevttu06iqr.cloudfront.net/amenities_icons/lodging.png,11906
6,6827,Wifi,https://d3orevttu06iqr.cloudfront.net/amenities_icons/wifi+.png,11907
2,6829,Cafe,https://d3orevttu06iqr.cloudfront.net/amenities_icons/cafe.png,11911
1,6829,Restroom,https://statiq-images-prod.s3.ap-south-1.amazonaws.com/amenities_icons/restroom.png,11912
3,6829,Store,https://d3orevttu06iqr.cloudfront.net/amenities_icons/store.png,11913
1,6832,Restroom,https://statiq-images-prod.s3.ap-south-1.amazonaws.com/amenities_icons/restroom.png,11914
1,6835,Restroom,https://statiq-images-prod.s3.ap-south-1.amazonaws.com/amenities_icons/restroom.png,11918
2,6835,Cafe,https://d3orevttu06iqr.cloudfront.net/amenities_icons/cafe.png,11919
1,6836,Restroom,https://statiq-images-prod.s3.ap-south-1.amazonaws.com/amenities_icons/restroom.png,11920
1,6838,Restroom,https://statiq-images-prod.s3.ap-south-1.amazonaws.com/amenities_icons/restroom.png,11937
2,6838,Cafe,https://d3orevttu06iqr.cloudfront.net/amenities_icons/cafe.png,11938
6,6838,Wifi,https://d3orevttu06iqr.cloudfront.net/amenities_icons/wifi+.png,11939
1,6849,Restroom,https://statiq-images-prod.s3.ap-south-1.amazonaws.com/amenities_icons/restroom.png,11943
1,6850,Restroom,https://statiq-images-prod.s3.ap-south-1.amazonaws.com/amenities_icons/restroom.png,11944
1,6851,Restroom,https://statiq-images-prod.s3.ap-south-1.amazonaws.com/amenities_icons/restroom.png,11945
1,6860,Restroom,https://statiq-images-prod.s3.ap-south-1.amazonaws.com/amenities_icons/restroom.png,11946
2,6860,Cafe,https://d3orevttu06iqr.cloudfront.net/amenities_icons/cafe.png,11947
5,6860,Lodging,https://d3orevttu06iqr.cloudfront.net/amenities_icons/lodging.png,11948
3,6860,Store,https://d3orevttu06iqr.cloudfront.net/amenities_icons/store.png,11949
