charger_id,station_id,charger_name,type,power_rating_kw,price,currency,symbol,price_display,last_used_on,connector_count,available_connector_count
62554,11697,CJK Malyalee 1,AC,9.0,15.0,INR,₹,₹ 15.0,,3,3
62557,11697,CJK Malyalee 2,AC,9.0,15.0,INR,₹,₹ 15.0,13/02/2026,3,3
68372,11697,CJK Malyalee 3,AC,3.0,15.0,INR,₹,₹ 15.0,22/04/2026,1,0
62555,11698,CJK LOHA Mandi Naraina 3063 1,AC,9.0,15.0,INR,₹,₹ 15.0,,3,1
62560,11698,CJK LOHA Mandi Naraina 3063 2,AC,9.0,15.0,INR,₹,₹ 15.0,07/05/2026,3,2
62558,11699,CJK Punjabi bagh 1,AC,9.0,15.0,INR,₹,₹ 15.0,15/05/2026,3,0
62562,11699,CJK Punjabi bagh 2,AC,9.0,15.0,INR,₹,₹ 15.0,19/05/2026,3,0
62559,11700,CJK Qutub Minar 1,AC,9.0,15.0,INR,₹,₹ 15.0,28/04/2026,3,3
62561,11701,CJK Kingsway Camp 1,AC,9.0,15.0,INR,₹,₹ 15.0,19/05/2026,3,2
62563,11702,CJK ANDHERIA MOD 1,AC,9.0,15.0,INR,₹,₹ 15.0,16/05/2026,3,3
62568,11702,CJK ANDHERIA MOD 2,AC,9.0,15.0,INR,₹,₹ 15.0,20/05/2026,3,3
62579,11703,CJK Kanak Chowk Pared Ground near Sulabh Sauchalay 3,DC,120.0,18.0,INR,₹,₹ 18.0,20/05/2026,2,2
62564,11703,CJK Kanak Chowk Pared Ground near Sulabh Sauchalay 1,AC,9.0,18.0,INR,₹,₹ 18.0,08/12/2025,3,0
62565,11704,CJK OKHLA NSIC METRO 1,AC,9.0,15.0,INR,₹,₹ 15.0,11/02/2026,3,2
64460,11704,CJK OKHLA NSIC METRO 2,AC,7.0,15.0,INR,₹,₹ 15.0,16/03/2026,1,1
68098,11704,CJK OKHLA NSIC METRO 3,AC,9.0,15.0,INR,₹,₹ 15.0,,3,0
68099,11704,CJK OKHLA NSIC METRO 4,AC,9.0,15.0,INR,₹,₹ 15.0,18/05/2026,3,2
62566,11705,CJK Connaught Place Outer Circle Panchkuian Road Near Abdul Salam Masjid Parking 1,DC,9.0,15.0,INR,₹,₹ 15.0,,3,3
62932,11705,CJK Connaught Place Outer Circle Panchkuian Road Near Abdul Salam Masjid Parking 3,DC,30.0,22.0,INR,₹,₹ 22.0,12/05/2026,1,1
62574,11705,CJK Connaught Place Outer Circle Panchkuian Road Near Abdul Salam Masjid Parking 2,AC,9.0,15.0,INR,₹,₹ 15.0,15/05/2026,3,2
66222,11705,CJK Connaught Place Outer Circle Panchkuian Road Near Abdul Salam Masjid Parking 4,AC,19.0,15.0,INR,₹,₹ 15.0,18/05/2026,3,3
62567,11706,CJK TB Hospital 1,AC,9.0,15.0,INR,₹,₹ 15.0,09/05/2026,3,3
62571,11706,CJK TB Hospital 2,AC,9.0,15.0,INR,₹,₹ 15.0,16/05/2026,3,2
62570,11707,CJK Vasant Gaon 1,AC,9.0,15.0,INR,₹,₹ 15.0,14/05/2026,3,3
62584,11707,CJK Vasant Gaon 2,AC,9.0,15.0,INR,₹,₹ 15.0,30/04/2026,3,3
68468,11707,CJK Vasant Gaon 3,AC,7.0,15.0,INR,₹,₹ 15.0,,1,1
62572,11708,CJK Okhla Mandi 1,AC,9.0,15.0,INR,₹,₹ 15.0,,3,3
62582,11708,CJK Okhla Mandi 2,AC,9.0,15.0,INR,₹,₹ 15.0,,3,3
64459,11708,CJK Okhla Mandi 3,AC,3.0,15.0,INR,₹,₹ 15.0,,1,0
64461,11708,CJK Okhla Mandi 4,AC,3.0,15.0,INR,₹,₹ 15.0,,1,1
64462,11708,CJK Okhla Mandi 5,AC,7.0,15.0,INR,₹,₹ 15.0,28/03/2026,1,1
62573,11709,CJK Behind Mohan Dev Building Parking Area 1,AC,9.0,15.0,INR,₹,₹ 15.0,15/01/2026,3,3
