station_id,connector_type_id,connector_name,connector_image_url
10541,5,Wall,https://d3orevttu06iqr.cloudfront.net/connector_images/type-1.png
10541,3,Type-2,https://d3orevttu06iqr.cloudfront.net/connector_images/type-2.png
10542,1,CCS-2,https://d3orevttu06iqr.cloudfront.net/connector_images/ccs-2.png
10543,5,Wall,https://d3orevttu06iqr.cloudfront.net/connector_images/type-1.png
10544,1,CCS-2,https://d3orevttu06iqr.cloudfront.net/connector_images/ccs-2.png
10544,5,Wall,https://d3orevttu06iqr.cloudfront.net/connector_images/type-1.png
10545,1,CCS-2,https://d3orevttu06iqr.cloudfront.net/connector_images/ccs-2.png
10546,1,CCS-2,https://d3orevttu06iqr.cloudfront.net/connector_images/ccs-2.png
10547,1,CCS-2,https://d3orevttu06iqr.cloudfront.net/connector_images/ccs-2.png
10548,1,CCS-2,https://d3orevttu06iqr.cloudfront.net/connector_images/ccs-2.png
10549,3,Type-2,https://d3orevttu06iqr.cloudfront.net/connector_images/type-2.png
10549,5,Wall,https://d3orevttu06iqr.cloudfront.net/connector_images/type-1.png
10550,1,CCS-2,https://d3orevttu06iqr.cloudfront.net/connector_images/ccs-2.png
10551,1,CCS-2,https://d3orevttu06iqr.cloudfront.net/connector_images/ccs-2.png
10551,5,Wall,https://d3orevttu06iqr.cloudfront.net/connector_images/type-1.png
10552,1,CCS-2,https://d3orevttu06iqr.cloudfront.net/connector_images/ccs-2.png
10553,3,Type-2,https://d3orevttu06iqr.cloudfront.net/connector_images/type-2.png
10553,5,Wall,https://d3orevttu06iqr.cloudfront.net/connector_images/type-1.png
10554,1,CCS-2,https://d3orevttu06iqr.cloudfront.net/connector_images/ccs-2.png
10555,1,CCS-2,https://d3orevttu06iqr.cloudfront.net/connector_images/ccs-2.png
10556,3,Type-2,https://d3orevttu06iqr.cloudfront.net/connector_images/type-2.png
10556,5,Wall,https://d3orevttu06iqr.cloudfront.net/connector_images/type-1.png
10557,1,CCS-2,https://d3orevttu06iqr.cloudfront.net/connector_images/ccs-2.png
10560,1,CCS-2,https://d3orevttu06iqr.cloudfront.net/connector_images/ccs-2.png
10561,5,Wall,https://d3orevttu06iqr.cloudfront.net/connector_images/type-1.png
10562,5,Wall,https://d3orevttu06iqr.cloudfront.net/connector_images/type-1.png
10563,1,CCS-2,https://d3orevttu06iqr.cloudfront.net/connector_images/ccs-2.png
10564,1,CCS-2,https://d3orevttu06iqr.cloudfront.net/connector_images/ccs-2.png
10565,5,Wall,https://d3orevttu06iqr.cloudfront.net/connector_images/type-1.png
10566,1,CCS-2,https://d3orevttu06iqr.cloudfront.net/connector_images/ccs-2.png
10566,3,Type-2,https://d3orevttu06iqr.cloudfront.net/connector_images/type-2.png
10567,1,CCS-2,https://d3orevttu06iqr.cloudfront.net/connector_images/ccs-2.png
10567,3,Type-2,https://d3orevttu06iqr.cloudfront.net/connector_images/type-2.png
10567,5,Wall,https://d3orevttu06iqr.cloudfront.net/connector_images/type-1.png
10568,3,Type-2,https://d3orevttu06iqr.cloudfront.net/connector_images/type-2.png
10568,5,Wall,https://d3orevttu06iqr.cloudfront.net/connector_images/type-1.png
10569,1,CCS-2,https://d3orevttu06iqr.cloudfront.net/connector_images/ccs-2.png
10570,1,CCS-2,https://d3orevttu06iqr.cloudfront.net/connector_images/ccs-2.png
10571,1,CCS-2,https://d3orevttu06iqr.cloudfront.net/connector_images/ccs-2.png
10573,1,CCS-2,https://d3orevttu06iqr.cloudfront.net/connector_images/ccs-2.png
10574,3,Type-2,https://d3orevttu06iqr.cloudfront.net/connector_images/type-2.png
10574,5,Wall,https://d3orevttu06iqr.cloudfront.net/connector_images/type-1.png
10576,1,CCS-2,https://d3orevttu06iqr.cloudfront.net/connector_images/ccs-2.png
10577,1,CCS-2,https://d3orevttu06iqr.cloudfront.net/connector_images/ccs-2.png
10577,5,Wall,https://d3orevttu06iqr.cloudfront.net/connector_images/type-1.png
10578,1,CCS-2,https://d3orevttu06iqr.cloudfront.net/connector_images/ccs-2.png
10578,5,Wall,https://d3orevttu06iqr.cloudfront.net/connector_images/type-1.png
10579,5,Wall,https://d3orevttu06iqr.cloudfront.net/connector_images/type-1.png
10580,1,CCS-2,https://d3orevttu06iqr.cloudfront.net/connector_images/ccs-2.png
10580,5,Wall,https://d3orevttu06iqr.cloudfront.net/connector_images/type-1.png
10581,1,CCS-2,https://d3orevttu06iqr.cloudfront.net/connector_images/ccs-2.png
10581,5,Wall,https://d3orevttu06iqr.cloudfront.net/connector_images/type-1.png
10582,5,Wall,https://d3orevttu06iqr.cloudfront.net/connector_images/type-1.png
10583,1,CCS-2,https://d3orevttu06iqr.cloudfront.net/connector_images/ccs-2.png
10583,3,Type-2,https://d3orevttu06iqr.cloudfront.net/connector_images/type-2.png
10583,5,Wall,https://d3orevttu06iqr.cloudfront.net/connector_images/type-1.png
10584,1,CCS-2,https://d3orevttu06iqr.cloudfront.net/connector_images/ccs-2.png
10585,1,CCS-2,https://d3orevttu06iqr.cloudfront.net/connector_images/ccs-2.png
10586,1,CCS-2,https://d3orevttu06iqr.cloudfront.net/connector_images/ccs-2.png
10587,1,CCS-2,https://d3orevttu06iqr.cloudfront.net/connector_images/ccs-2.png
10588,1,CCS-2,https://d3orevttu06iqr.cloudfront.net/connector_images/ccs-2.png
10589,1,CCS-2,https://d3orevttu06iqr.cloudfront.net/connector_images/ccs-2.png
10590,5,Wall,https://d3orevttu06iqr.cloudfront.net/connector_images/type-1.png
10591,1,CCS-2,https://d3orevttu06iqr.cloudfront.net/connector_images/ccs-2.png
10591,5,Wall,https://d3orevttu06iqr.cloudfront.net/connector_images/type-1.png
10592,5,Wall,https://d3orevttu06iqr.cloudfront.net/connector_images/type-1.png
10593,1,CCS-2,https://d3orevttu06iqr.cloudfront.net/connector_images/ccs-2.png
10593,3,Type-2,https://d3orevttu06iqr.cloudfront.net/connector_images/type-2.png
10594,1,CCS-2,https://d3orevttu06iqr.cloudfront.net/connector_images/ccs-2.png
10594,5,Wall,https://d3orevttu06iqr.cloudfront.net/connector_images/type-1.png
10595,1,CCS-2,https://d3orevttu06iqr.cloudfront.net/connector_images/ccs-2.png
10596,1,CCS-2,https://d3orevttu06iqr.cloudfront.net/connector_images/ccs-2.png
10597,1,CCS-2,https://d3orevttu06iqr.cloudfront.net/connector_images/ccs-2.png
10598,1,CCS-2,https://d3orevttu06iqr.cloudfront.net/connector_images/ccs-2.png
10599,1,CCS-2,https://d3orevttu06iqr.cloudfront.net/connector_images/ccs-2.png
10600,1,CCS-2,https://d3orevttu06iqr.cloudfront.net/connector_images/ccs-2.png
10601,1,CCS-2,https://d3orevttu06iqr.cloudfront.net/connector_images/ccs-2.png
10602,1,CCS-2,https://d3orevttu06iqr.cloudfront.net/connector_images/ccs-2.png
10603,1,CCS-2,https://d3orevttu06iqr.cloudfront.net/connector_images/ccs-2.png
10604,1,CCS-2,https://d3orevttu06iqr.cloudfront.net/connector_images/ccs-2.png
10605,1,CCS-2,https://d3orevttu06iqr.cloudfront.net/connector_images/ccs-2.png
10606,1,CCS-2,https://d3orevttu06iqr.cloudfront.net/connector_images/ccs-2.png
10607,1,CCS-2,https://d3orevttu06iqr.cloudfront.net/connector_images/ccs-2.png
10608,3,Type-2,https://d3orevttu06iqr.cloudfront.net/connector_images/type-2.png
10608,1,CCS-2,https://d3orevttu06iqr.cloudfront.net/connector_images/ccs-2.png
