station_id,station_name,address,latitude,longitude,access_type,is_community_listed,map_pin_url,focused_map_pin_url
10786,SAI KRISNA FILLING STATION,,19.011316,78.367819,1,0,https://d3orevttu06iqr.cloudfront.net/charging-pin/BPCL+-+default.png,https://d3orevttu06iqr.cloudfront.net/charging-pin/BPCL-+selected.png
10787,RICH FIELD FILLING STATION,,17.293504,78.751754,1,0,https://d3orevttu06iqr.cloudfront.net/charging-pin/BPCL+-+default.png,https://d3orevttu06iqr.cloudfront.net/charging-pin/BPCL-+selected.png
10788,VISHAL FILLING STATION,,19.10531,78.15446,1,0,https://d3orevttu06iqr.cloudfront.net/charging-pin/BPCL+-+default.png,https://d3orevttu06iqr.cloudfront.net/charging-pin/BPCL-+selected.png
10789,"Pragathi Nagar Lake Parking, Pragathi Nagar, Krishnaveni Nagar, Chenchu Guda, Nizampet",,17.508206,78.396122,1,0,https://d3orevttu06iqr.cloudfront.net/charging-pin/Statiq+charging.png,https://d3orevttu06iqr.cloudfront.net/charging-pin/Statiq+charging+selected.png
10790,SHIRDI SAI PETRO PLAZA,,17.112727,79.685394,1,0,https://d3orevttu06iqr.cloudfront.net/charging-pin/unavailable.png,https://d3orevttu06iqr.cloudfront.net/charging-pin/unavailable.png
10791,Arjun fuels,Nh-47(old NH-59A) tehsil-handia district-hard,22.47896,76.9848,1,0,https://d3orevttu06iqr.cloudfront.net/branding_logo/offline-pin/unavailable+pin.png,https://statiq-images-prod.s3.ap-south-1.amazonaws.com/branding_logo/offline-pin/unavailable+pin.png
10792,Shri Mothilal KSK,"padiya dhakad, Padliya aniana, Pachore",23.63768,76.67039,1,0,https://d3orevttu06iqr.cloudfront.net/branding_logo/offline-pin/unavailable+pin.png,https://statiq-images-prod.s3.ap-south-1.amazonaws.com/branding_logo/offline-pin/unavailable+pin.png
10793,GORTHARAJANNA & SON FILLING STATION,,18.758172,78.283618,1,0,https://d3orevttu06iqr.cloudfront.net/charging-pin/BPCL+-+default.png,https://d3orevttu06iqr.cloudfront.net/charging-pin/BPCL-+selected.png
10794,Statiq Holiday Inn Express Gr Noida Station,,28.491336,77.489212,1,0,https://d3orevttu06iqr.cloudfront.net/charging-pin/Statiq+charging.png,https://d3orevttu06iqr.cloudfront.net/charging-pin/Statiq+charging+selected.png
10795,NIRMALA AGENCIES,,17.145658,79.634833,1,0,https://d3orevttu06iqr.cloudfront.net/charging-pin/BPCL+-+default.png,https://d3orevttu06iqr.cloudfront.net/charging-pin/BPCL-+selected.png
10796,SHIVA PETROLEUM COMPANY,,17.11164,79.676579,1,0,https://d3orevttu06iqr.cloudfront.net/charging-pin/BPCL+-+default.png,https://d3orevttu06iqr.cloudfront.net/charging-pin/BPCL-+selected.png
10797,Moga Punjabi Haveli,"JALALPUR, NH 09 114, GAJRAULA, UP",28.837037,78.32146,1,0,https://statiq-images-prod.s3.ap-south-1.amazonaws.com/branding_logo/unavailable+select.png,https://statiq-images-prod.s3.ap-south-1.amazonaws.com/branding_logo/unavailable+select.png
10798,BP-RUDRAPUR,,28.994697,79.400755,1,0,https://d3orevttu06iqr.cloudfront.net/charging-pin/BPCL+-+default.png,https://d3orevttu06iqr.cloudfront.net/charging-pin/BPCL-+selected.png
10799,SAI CHAITANYA FILLING STATION,,17.058889,79.823459,1,0,https://d3orevttu06iqr.cloudfront.net/charging-pin/unavailable.png,https://d3orevttu06iqr.cloudfront.net/charging-pin/unavailable.png
10800,SAGAR TRANSPORT COMPANY,,28.93124,79.51712,1,0,https://d3orevttu06iqr.cloudfront.net/charging-pin/BPCL+-+default.png,https://d3orevttu06iqr.cloudfront.net/charging-pin/BPCL-+selected.png
10801,SLV FILLING STATION,,16.962922,78.727799,1,0,https://d3orevttu06iqr.cloudfront.net/charging-pin/unavailable.png,https://d3orevttu06iqr.cloudfront.net/charging-pin/unavailable.png
10802,YASH FILLING STATION,,28.870009,79.516383,1,0,https://d3orevttu06iqr.cloudfront.net/charging-pin/unavailable.png,https://d3orevttu06iqr.cloudfront.net/charging-pin/unavailable.png
